Angle_of_Repose,Aspartame,B_cyclodextrin,Bulk_Density,Carrs_Compressibility_Index,Citric_acid,Clove_oil_,Colloidal_silicon_dioxide_Aerosil_,Complexity,DOSE,Gum,Hausner_Ratio,Heavy_atom_count,Hydrogen_Bond_Acceptor_Count,Hydrogen_Bond_Donor_Count,Hydroxypropyl_Cellulose_HPC_,Indion,Lactose,LogS,Magnesium_Stearate,Mannitol,Menthol,Microcrystalline_Cellulose,Molecular_Weight,Neotame,Plantago_ovata,Polacrilin_Potassium,Polyethylene_Glycol,Polyvinylpyrrolidone_Crospovidone_,Rotational_bond_count,Sodium_Saccharine_,Sodium_croscarmellose,Sodium_lauryl_sulfate_SLS_,Sodium_saccharin,Sodium_starch_glycolate,Sodium_stearyl_fumarate_,Starch,Stevia_leaf_Powder_,Talc,Tapped_Density,Thickness,Topological_surface_area,Weight_mg_,Wetting_time,XLogP3_AA,polyvinyl_acetate,sodium_bicarbonate_NaHCO3_
28.02,0.0,0,0.56,16.417,0.0,0,0.0,497,80.0,0.0,1.196,22,4,2,0.0,0.0,0.0,-4.11,0.625,37.5,0,119.75,323.4,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1.5,10.0,0.0,0.0,0,0.625,0.67,3.06,86.9,250.0,23.0,1.5,0.0,0.0
26.55,0.0,0,0.55,17.91,0.0,0,0.0,497,80.0,0.0,1.218,22,4,2,0.0,0.0,0.0,-4.11,0.625,37.5,0,114.75,323.4,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1.5,15.0,0.0,0.0,0,0.625,0.67,2.83,86.9,250.0,21.0,1.5,0.0,0.0
26.81,0.0,0,0.6,17.808,0.0,0,0.0,497,80.0,0.0,1.216,22,4,2,0.0,0.0,0.0,-4.11,0.625,37.5,0,119.75,323.4,0.0,0.0,0.0,0.0,0.0,3,0.0,10.0,0.0,1.5,0.0,0.0,0.0,0,0.625,0.73,3.03,86.9,250.0,19.0,1.5,0.0,0.0
27.71,0.0,0,0.6,15.492,0.0,0,0.0,497,80.0,0.0,1.183,22,4,2,0.0,0.0,0.0,-4.11,0.625,37.5,0,117.25,323.4,0.0,0.0,0.0,0.0,0.0,3,0.0,12.5,0.0,1.5,0.0,0.0,0.0,0,0.625,0.71,2.76,86.9,250.0,14.0,1.5,0.0,0.0
26.29,0.0,0,0.58,15.046,0.0,0,0.0,497,80.0,0.0,1.188,22,4,2,0.0,0.0,0.0,-4.11,0.625,37.5,0,109.75,323.4,0.0,0.0,0.0,0.0,0.0,3,0.0,10.0,0.0,1.5,10.0,0.0,0.0,0,0.625,0.68,2.93,86.9,250.0,24.0,1.5,0.0,0.0
27.1,0.0,0,0.57,16.176,0.0,0,0.0,497,80.0,0.0,1.192,22,4,2,0.0,0.0,0.0,-4.11,0.625,37.5,0,107.25,323.4,0.0,0.0,0.0,0.0,0.0,3,0.0,12.5,0.0,1.5,10.0,0.0,0.0,0,0.625,0.68,3.03,86.9,250.0,17.0,1.5,0.0,0.0
26.96,0.0,0,0.59,15.642,0.0,0,0.0,497,80.0,0.0,1.185,22,4,2,0.0,0.0,0.0,-4.11,0.625,37.5,0,104.75,323.4,0.0,0.0,0.0,0.0,0.0,3,0.0,10.0,0.0,1.5,15.0,0.0,0.0,0,0.625,0.7,2.73,86.9,250.0,23.0,1.5,0.0,0.0
27.84,0.0,0,0.59,14.492,0.0,0,0.0,497,80.0,0.0,1.169,22,4,2,0.0,0.0,0.0,-4.11,0.625,37.5,0,102.25,323.4,0.0,0.0,0.0,0.0,0.0,3,0.0,12.5,0.0,1.5,15.0,0.0,0.0,0,0.625,0.69,2.83,86.9,250.0,22.0,1.5,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,1.0,497,5.0,0.0,0.0,22,4,2,0.0,0.0,0.0,-4.11,1.0,0.0,0,0.0,323.4,0.0,0.0,0.0,0.0,7.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,86.9,100.0,37.0,1.5,0.0,86.0
0.0,0.0,0,0.0,0.0,0.0,0,1.0,497,5.0,0.0,0.0,22,4,2,0.0,0.0,0.0,-4.11,1.0,0.0,0,0.0,323.4,0.0,0.0,0.0,0.0,8.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,86.9,100.0,36.46,1.5,0.0,85.0
0.0,0.0,0,0.0,0.0,0.0,0,1.0,497,5.0,0.0,0.0,22,4,2,0.0,0.0,0.0,-4.11,1.0,0.0,0,0.0,323.4,0.0,0.0,0.0,0.0,9.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,86.9,100.0,40.1,1.5,0.0,84.0
0.0,0.0,0,0.0,0.0,0.0,0,1.0,497,5.0,0.0,0.0,22,4,2,0.0,0.0,0.0,-4.11,1.0,0.0,0,0.0,323.4,0.0,0.0,0.0,0.0,3.0,3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,86.9,100.0,33.5,1.5,0.0,86.0
0.0,0.0,0,0.0,0.0,0.0,0,1.0,497,5.0,0.0,0.0,22,4,2,0.0,0.0,0.0,-4.11,1.0,0.0,0,0.0,323.4,0.0,0.0,0.0,0.0,3.0,3,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,86.9,100.0,36.3,1.5,0.0,85.0
0.0,0.0,0,0.0,0.0,0.0,0,1.0,497,5.0,0.0,0.0,22,4,2,0.0,0.0,0.0,-4.11,1.0,0.0,0,0.0,323.4,0.0,0.0,0.0,0.0,3.0,3,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,86.9,100.0,41.08,1.5,0.0,84.0
0.0,0.0,0,0.0,0.0,0.0,0,1.0,497,5.0,0.0,0.0,22,4,2,0.0,0.0,0.0,-4.11,1.0,0.0,0,85.0,323.4,0.0,0.0,0.0,0.0,8.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,86.9,100.0,19.29,1.5,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,1.0,497,5.0,0.0,0.0,22,4,2,0.0,0.0,0.0,-4.11,1.0,0.0,0,85.0,323.4,0.0,0.0,0.0,0.0,3.0,3,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,86.9,100.0,17.5,1.5,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,1.0,497,5.0,0.0,0.0,22,4,2,0.0,0.0,0.0,-4.11,1.0,0.0,0,85.0,323.4,0.0,0.0,0.0,0.0,8.0,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,86.9,103.0,28.38,1.5,0.0,0.0
0.0,0.0,0,0.0,0.0,1.5,0,1.5,497,80.0,0.0,0.0,22,4,2,0.0,0.0,0.0,-4.11,1.5,0.0,0,59.5,323.4,0.0,0.0,0.0,0.0,0.45,3,0.0,4.05,0.0,1.5,0.0,0.0,0.0,0,0.0,0.0,0.0,86.9,150.0,12.5,1.5,0.0,0.0
0.0,0.0,0,0.0,0.0,1.5,0,1.5,497,80.0,0.0,0.0,22,4,2,0.0,0.0,0.0,-4.11,1.5,0.0,0,59.5,323.4,0.0,0.0,0.0,0.0,1.125,3,0.0,3.375,0.0,1.5,0.0,0.0,0.0,0,0.0,0.0,0.0,86.9,150.0,12.8,1.5,0.0,0.0
0.0,0.0,0,0.0,0.0,1.5,0,1.5,497,80.0,0.0,0.0,22,4,2,0.0,0.0,0.0,-4.11,1.5,0.0,0,59.5,323.4,0.0,0.0,0.0,0.0,2.25,3,0.0,2.25,0.0,1.5,0.0,0.0,0.0,0,0.0,0.0,0.0,86.9,150.0,8.2,1.5,0.0,0.0
0.0,0.0,0,0.0,0.0,1.5,0,1.5,497,80.0,0.0,0.0,22,4,2,0.0,0.0,0.0,-4.11,1.5,0.0,0,59.5,323.4,0.0,0.0,0.0,0.0,3.375,3,0.0,1.125,0.0,1.5,0.0,0.0,0.0,0,0.0,0.0,0.0,86.9,150.0,6.5,1.5,0.0,0.0
0.0,0.0,0,0.0,0.0,1.5,0,1.5,497,80.0,0.0,0.0,22,4,2,0.0,0.0,0.0,-4.11,1.5,0.0,0,59.5,323.4,0.0,0.0,0.0,0.0,4.05,3,0.0,0.45,0.0,1.5,0.0,0.0,0.0,0,0.0,0.0,0.0,86.9,150.0,6.3,1.5,0.0,0.0
0.0,0.0,0,0.0,0.0,1.5,0,1.5,497,80.0,0.0,0.0,22,4,2,0.0,0.0,0.0,-4.11,1.5,0.0,0,59.5,323.4,0.0,0.0,0.0,0.0,0.45,3,0.0,0.0,0.0,1.5,4.05,0.0,0.0,0,0.0,0.0,0.0,86.9,150.0,6.5,1.5,0.0,0.0
0.0,0.0,0,0.0,0.0,1.5,0,1.5,497,80.0,0.0,0.0,22,4,2,0.0,0.0,0.0,-4.11,1.5,0.0,0,59.5,323.4,0.0,0.0,0.0,0.0,0.45,3,0.0,0.0,0.0,1.5,4.05,0.0,0.0,0,0.0,0.0,0.0,86.9,150.0,13.0,1.5,0.0,0.0
0.0,0.0,0,0.0,0.0,1.5,0,1.5,497,80.0,0.0,0.0,22,4,2,0.0,0.0,0.0,-4.11,1.5,0.0,0,59.5,323.4,0.0,0.0,0.0,0.0,2.25,3,0.0,0.0,0.0,1.5,2.25,0.0,0.0,0,0.0,0.0,0.0,86.9,150.0,6.3,1.5,0.0,0.0
0.0,0.0,0,0.0,0.0,1.5,0,1.5,497,80.0,0.0,0.0,22,4,2,0.0,0.0,0.0,-4.11,1.5,0.0,0,59.5,323.4,0.0,0.0,0.0,0.0,3.375,3,0.0,0.0,0.0,1.5,1.125,0.0,0.0,0,0.0,0.0,0.0,86.9,150.0,11.2,1.5,0.0,0.0
0.0,0.0,0,0.0,0.0,1.5,0,1.5,497,80.0,0.0,0.0,22,4,2,0.0,0.0,0.0,-4.11,1.5,0.0,0,59.5,323.4,0.0,0.0,0.0,0.0,4.05,3,0.0,0.0,0.0,1.5,0.45,0.0,0.0,0,0.0,0.0,0.0,86.9,150.0,8.7,1.5,0.0,0.0
0.0,0.0,0,0.0,0.0,1.5,0,1.5,497,80.0,0.0,0.0,22,4,2,0.0,0.0,0.0,-4.11,1.5,0.0,0,56.5,323.4,0.0,0.0,0.0,0.0,0.75,3,0.0,6.75,0.0,1.5,0.0,0.0,0.0,0,0.0,0.0,0.0,86.9,150.0,43.0,1.5,0.0,0.0
0.0,0.0,0,0.0,0.0,1.5,0,1.5,497,80.0,0.0,0.0,22,4,2,0.0,0.0,0.0,-4.11,1.5,0.0,0,56.5,323.4,0.0,0.0,0.0,0.0,1.875,3,0.0,5.625,0.0,1.5,0.0,0.0,0.0,0,0.0,0.0,0.0,86.9,150.0,31.3,1.5,0.0,0.0
0.0,0.0,0,0.0,0.0,1.5,0,1.5,497,80.0,0.0,0.0,22,4,2,0.0,0.0,0.0,-4.11,1.5,0.0,0,56.5,323.4,0.0,0.0,0.0,0.0,3.75,3,0.0,3.75,0.0,1.5,0.0,0.0,0.0,0,0.0,0.0,0.0,86.9,150.0,36.0,1.5,0.0,0.0
0.0,0.0,0,0.0,0.0,1.5,0,1.5,497,80.0,0.0,0.0,22,4,2,0.0,0.0,0.0,-4.11,1.5,0.0,0,56.5,323.4,0.0,0.0,0.0,0.0,5.625,3,0.0,1.875,0.0,1.5,0.0,0.0,0.0,0,0.0,0.0,0.0,86.9,150.0,30.6,1.5,0.0,0.0
0.0,0.0,0,0.0,0.0,1.5,0,1.5,497,80.0,0.0,0.0,22,4,2,0.0,0.0,0.0,-4.11,1.5,0.0,0,56.5,323.4,0.0,0.0,0.0,0.0,6.75,3,0.0,0.75,0.0,1.5,0.0,0.0,0.0,0,0.0,0.0,0.0,86.9,150.0,23.7,1.5,0.0,0.0
0.0,0.0,0,0.0,0.0,1.5,0,1.5,497,80.0,0.0,0.0,22,4,2,0.0,0.0,0.0,-4.11,1.5,0.0,0,56.5,323.4,0.0,0.0,0.0,0.0,0.75,3,0.0,0.0,0.0,1.5,6.75,0.0,0.0,0,0.0,0.0,0.0,86.9,150.0,31.5,1.5,0.0,0.0
