Angle_of_Repose,Aspartame,B_cyclodextrin,Bulk_Density,Carrs_Compressibility_Index,Citric_acid,Clove_oil_,Colloidal_silicon_dioxide_Aerosil_,Complexity,DOSE,Gum,Hausner_Ratio,Heavy_atom_count,Hydrogen_Bond_Acceptor_Count,Hydrogen_Bond_Donor_Count,Hydroxypropyl_Cellulose_HPC_,Indion,Lactose,LogS,Magnesium_Stearate,Mannitol,Menthol,Microcrystalline_Cellulose,Molecular_Weight,Neotame,Plantago_ovata,Polacrilin_Potassium,Polyethylene_Glycol,Polyvinylpyrrolidone_Crospovidone_,Rotational_bond_count,Sodium_Saccharine_,Sodium_croscarmellose,Sodium_lauryl_sulfate_SLS_,Sodium_saccharin,Sodium_starch_glycolate,Sodium_stearyl_fumarate_,Starch,Stevia_leaf_Powder_,Talc,Tapped_Density,Thickness,Topological_surface_area,Weight_mg_,Wetting_time,XLogP3_AA,polyvinyl_acetate,sodium_bicarbonate_NaHCO3_
0.0,3.0,0,0.0,0.0,0.0,0,0.0,411,100.0,0.0,0.0,23,5,2,0.0,0.0,0.0,-4.76,2.0,0.0,0,133.0,354.2,0.0,0.0,0.0,0.0,0.0,7,0.0,30.0,6.0,0.0,0.0,0.0,0.0,0,6.0,0.0,0.0,75.6,280.0,13.0,4.3,0.0,0.0
0.0,3.0,0,0.0,0.0,0.0,0,0.0,411,100.0,0.0,0.0,23,5,2,0.0,0.0,0.0,-4.76,2.0,0.0,0,133.0,354.2,0.0,0.0,0.0,0.0,0.0,7,0.0,30.0,6.0,0.0,0.0,0.0,0.0,0,6.0,0.0,0.0,75.6,280.0,14.0,4.3,0.0,0.0
0.0,3.0,0,0.0,0.0,0.0,0,0.0,411,100.0,0.0,0.0,23,5,2,0.0,0.0,0.0,-4.76,2.0,0.0,0,133.0,354.2,0.0,0.0,0.0,0.0,0.0,7,0.0,30.0,6.0,0.0,0.0,0.0,0.0,0,6.0,0.0,0.0,75.6,280.0,13.0,4.3,0.0,0.0
0.0,3.0,0,0.0,0.0,0.0,0,0.0,411,100.0,0.0,0.0,23,5,2,0.0,0.0,0.0,-4.76,2.0,0.0,0,133.0,354.2,0.0,0.0,0.0,0.0,0.0,7,0.0,30.0,6.0,0.0,0.0,0.0,0.0,0,6.0,0.0,0.0,75.6,280.0,15.0,4.3,0.0,0.0
0.0,5.0,0,0.0,0.0,0.0,0,0.0,411,250.0,0.0,0.0,23,5,2,0.0,0.0,0.0,-4.76,2.0,25.0,0,104.0,354.2,0.0,0.0,0.0,0.0,5.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,6.05,75.6,400.0,37.0,4.3,0.0,0.0
0.0,5.0,0,0.0,0.0,0.0,0,0.0,411,250.0,0.0,0.0,23,5,2,0.0,0.0,0.0,-4.76,2.0,25.0,0,99.0,354.2,0.0,0.0,0.0,0.0,10.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,6.05,75.6,400.0,35.0,4.3,0.0,0.0
0.0,5.0,0,0.0,0.0,0.0,0,0.0,411,250.0,0.0,0.0,23,5,2,0.0,0.0,0.0,-4.76,2.0,25.0,0,94.0,354.2,0.0,0.0,0.0,0.0,20.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,6.05,75.6,405.0,22.0,4.3,0.0,0.0
0.0,5.0,0,0.0,0.0,0.0,0,0.0,411,250.0,0.0,0.0,23,5,2,0.0,0.0,0.0,-4.76,2.0,25.0,0,104.0,354.2,0.0,0.0,0.0,0.0,0.0,7,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,6.05,75.6,400.0,39.0,4.3,0.0,0.0
0.0,5.0,0,0.0,0.0,0.0,0,0.0,411,250.0,0.0,0.0,23,5,2,0.0,0.0,0.0,-4.76,2.0,25.0,0,99.0,354.2,0.0,0.0,0.0,0.0,0.0,7,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,6.05,75.6,400.0,34.0,4.3,0.0,0.0
0.0,5.0,0,0.0,0.0,0.0,0,0.0,411,250.0,0.0,0.0,23,5,2,0.0,0.0,0.0,-4.76,2.0,25.0,0,94.0,354.2,0.0,0.0,0.0,0.0,0.0,7,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,6.05,75.6,405.0,31.0,4.3,0.0,0.0
