Angle_of_Repose,Aspartame,B_cyclodextrin,Bulk_Density,Carrs_Compressibility_Index,Citric_acid,Clove_oil_,Colloidal_silicon_dioxide_Aerosil_,Complexity,DOSE,Gum,Hausner_Ratio,Heavy_atom_count,Hydrogen_Bond_Acceptor_Count,Hydrogen_Bond_Donor_Count,Hydroxypropyl_Cellulose_HPC_,Indion,Lactose,LogS,Magnesium_Stearate,Mannitol,Menthol,Microcrystalline_Cellulose,Molecular_Weight,Neotame,Plantago_ovata,Polacrilin_Potassium,Polyethylene_Glycol,Polyvinylpyrrolidone_Crospovidone_,Rotational_bond_count,Sodium_Saccharine_,Sodium_croscarmellose,Sodium_lauryl_sulfate_SLS_,Sodium_saccharin,Sodium_starch_glycolate,Sodium_stearyl_fumarate_,Starch,Stevia_leaf_Powder_,Talc,Tapped_Density,Thickness,Topological_surface_area,Weight_mg_,Wetting_time,XLogP3_AA,polyvinyl_acetate,sodium_bicarbonate_NaHCO3_
0.0,5.0,0,0.0,0.0,0.0,0,0.0,279,28.2,0.0,0.0,21,3,2,0.0,0.0,0.0,-2.86,4.0,0.0,0,94.8,313.9,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,12.0,0.0,2.52,32.7,150.0,133.26,2.74,0.0,0.0
0.0,5.0,0,0.0,0.0,0.0,0,0.0,279,28.2,0.0,0.0,21,3,2,0.0,0.0,0.0,-2.86,4.0,0.0,0,92.55,313.9,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5.25,0.0,0.0,0,12.0,0.0,2.51,32.7,150.0,90.06,2.74,0.0,0.0
0.0,5.0,0,0.0,0.0,0.0,0,0.0,279,28.2,0.0,0.0,21,3,2,0.0,0.0,0.0,-2.86,4.0,0.0,0,90.8,313.9,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0,12.0,0.0,2.53,32.7,150.5,58.06,2.74,0.0,0.0
0.0,5.0,0,0.0,0.0,0.0,0,0.0,279,28.2,0.0,0.0,21,3,2,0.0,0.0,0.0,-2.86,4.0,0.0,0,94.8,313.9,0.0,0.0,0.0,0.0,0.0,5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,12.0,0.0,2.5,32.7,150.0,159.6,2.74,0.0,0.0
0.0,5.0,0,0.0,0.0,0.0,0,0.0,279,28.2,0.0,0.0,21,3,2,0.0,0.0,0.0,-2.86,4.0,0.0,0,92.55,313.9,0.0,0.0,0.0,0.0,0.0,5,0.0,5.25,0.0,0.0,0.0,0.0,0.0,0,12.0,0.0,2.49,32.7,150.0,117.56,2.74,0.0,0.0
0.0,5.0,0,0.0,0.0,0.0,0,0.0,279,28.2,0.0,0.0,21,3,2,0.0,0.0,0.0,-2.86,4.0,0.0,0,90.8,313.9,0.0,0.0,0.0,0.0,0.0,5,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0,12.0,0.0,2.48,32.7,150.0,82.0,2.74,0.0,0.0
0.0,5.0,0,0.0,0.0,0.0,0,0.0,279,28.2,0.0,0.0,21,3,2,0.0,0.0,0.0,-2.86,4.0,0.0,0,94.8,313.9,0.0,0.0,0.0,0.0,3.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.0,0.0,2.51,32.7,150.0,129.6,2.74,0.0,0.0
0.0,5.0,0,0.0,0.0,0.0,0,0.0,279,28.2,0.0,0.0,21,3,2,0.0,0.0,0.0,-2.86,4.0,0.0,0,92.55,313.9,0.0,0.0,0.0,0.0,5.25,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.0,0.0,2.52,32.7,150.0,58.2,2.74,0.0,0.0
0.0,5.0,0,0.0,0.0,0.0,0,0.0,279,28.2,0.0,0.0,21,3,2,0.0,0.0,0.0,-2.86,4.0,0.0,0,90.8,313.9,0.0,0.0,0.0,0.0,7.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.0,0.0,2.5,32.7,150.0,34.3,2.74,0.0,0.0
27.96,0.0,0,0.588,17.64,0.0,0,0.0,279,37.5,0.0,12.46,21,3,2,0.0,0.0,0.0,-2.86,3.0,125.5,0,20.0,313.9,0.0,0.0,0.0,0.0,2.0,5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.714,4.6,32.7,202.0,250.0,2.74,0.0,0.0
28.5,0.0,0,0.625,18.72,0.0,0,0.0,279,37.5,0.0,1.23,21,3,2,0.0,0.0,0.0,-2.86,3.0,103.5,0,40.0,313.9,0.0,0.0,0.0,0.0,4.0,5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.769,4.8,32.7,202.0,195.0,2.74,0.0,0.0
