Angle_of_Repose,Aspartame,B_cyclodextrin,Bulk_Density,Carrs_Compressibility_Index,Citric_acid,Clove_oil_,Colloidal_silicon_dioxide_Aerosil_,Complexity,DOSE,Gum,Hausner_Ratio,Heavy_atom_count,Hydrogen_Bond_Acceptor_Count,Hydrogen_Bond_Donor_Count,Hydroxypropyl_Cellulose_HPC_,Indion,Lactose,LogS,Magnesium_Stearate,Mannitol,Menthol,Microcrystalline_Cellulose,Molecular_Weight,Neotame,Plantago_ovata,Polacrilin_Potassium,Polyethylene_Glycol,Polyvinylpyrrolidone_Crospovidone_,Rotational_bond_count,Sodium_Saccharine_,Sodium_croscarmellose,Sodium_lauryl_sulfate_SLS_,Sodium_saccharin,Sodium_starch_glycolate,Sodium_stearyl_fumarate_,Starch,Stevia_leaf_Powder_,Talc,Tapped_Density,Thickness,Topological_surface_area,Weight_mg_,Wetting_time,XLogP3_AA,polyvinyl_acetate,sodium_bicarbonate_NaHCO3_
26.56,0.0,0,0.53,13.11,16.0,0,0.0,526,25.0,0.0,1.15,31,6,1,0.0,0.0,0.0,-6.72,3.0,79.0,0,45.0,461.0,0.0,0.0,4.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.61,0.0,77.7,198.0,0.0,4.85,0.0,24.0
25.97,0.0,0,0.51,12.06,20.0,0,0.0,526,25.0,0.0,1.13,31,6,1,0.0,0.0,0.0,-6.72,3.0,77.0,0,45.0,461.0,0.0,0.0,6.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.58,0.0,77.7,198.0,0.0,4.85,0.0,20.0
24.77,0.0,0,0.5,13.79,12.0,0,0.0,526,25.0,0.0,1.16,31,6,1,0.0,0.0,0.0,-6.72,3.0,75.0,0,45.0,461.0,0.0,0.0,8.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.58,0.0,77.7,198.0,0.0,4.85,0.0,28.0
25.27,0.0,0,0.51,15.0,16.0,0,0.0,526,25.0,0.0,1.17,31,6,1,0.0,0.0,0.0,-6.72,3.0,79.0,0,45.0,461.0,0.0,0.0,4.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.6,0.0,77.7,198.0,0.0,4.85,0.0,24.0
23.19,0.0,0,0.55,14.22,20.0,0,0.0,526,25.0,0.0,1.16,31,6,1,0.0,0.0,0.0,-6.72,3.0,77.0,0,45.0,461.0,0.0,0.0,6.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.64,0.0,77.7,198.0,0.0,4.85,0.0,20.0
24.1,0.0,0,0.53,11.66,12.0,0,0.0,526,25.0,0.0,1.13,31,6,1,0.0,0.0,0.0,-6.72,3.0,75.0,0,45.0,461.0,0.0,0.0,8.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.6,0.0,77.7,198.0,0.0,4.85,0.0,28.0
0.0,0.0,0,0.0,0.0,0.0,0,2.0,526,50.0,0.0,0.0,31,6,1,0.0,0.0,66.0,-6.72,2.0,0.0,0,66.0,461.0,6.0,0.0,0.0,0.0,6.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.2,77.7,200.0,0.0,4.85,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,2.0,526,50.0,0.0,0.0,31,6,1,0.0,0.0,64.0,-6.72,2.0,0.0,0,64.0,461.0,6.0,0.0,0.0,0.0,10.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.1,77.7,200.0,0.0,4.85,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,2.0,526,50.0,0.0,0.0,31,6,1,0.0,0.0,59.0,-6.72,2.0,0.0,0,59.0,461.0,6.0,0.0,0.0,0.0,20.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.2,77.7,200.0,0.0,4.85,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,2.0,526,50.0,0.0,0.0,31,6,1,0.0,0.0,56.5,-6.72,2.0,0.0,0,56.5,461.0,6.0,0.0,0.0,0.0,25.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.1,77.7,200.0,38.0,4.85,0.0,0.0
