Angle_of_Repose,Aspartame,B_cyclodextrin,Bulk_Density,Carrs_Compressibility_Index,Citric_acid,Clove_oil_,Colloidal_silicon_dioxide_Aerosil_,Complexity,DOSE,Gum,Hausner_Ratio,Heavy_atom_count,Hydrogen_Bond_Acceptor_Count,Hydrogen_Bond_Donor_Count,Hydroxypropyl_Cellulose_HPC_,Indion,Lactose,LogS,Magnesium_Stearate,Mannitol,Menthol,Microcrystalline_Cellulose,Molecular_Weight,Neotame,Plantago_ovata,Polacrilin_Potassium,Polyethylene_Glycol,Polyvinylpyrrolidone_Crospovidone_,Rotational_bond_count,Sodium_Saccharine_,Sodium_croscarmellose,Sodium_lauryl_sulfate_SLS_,Sodium_saccharin,Sodium_starch_glycolate,Sodium_stearyl_fumarate_,Starch,Stevia_leaf_Powder_,Talc,Tapped_Density,Thickness,Topological_surface_area,Weight_mg_,Wetting_time,XLogP3_AA,polyvinyl_acetate,sodium_bicarbonate_NaHCO3_
0.0,3.0,0,0.0,0.0,0.0,0,1.0,412,10.0,0.0,0.0,29,5,2,0.0,0.0,0.0,-2.69,0.5,10.0,0,69.5,391.5,0.0,0.0,0.0,0.0,2.0,6,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.0,3.23,87.0,100.0,30.0,1.44,0.0,0.0
0.0,3.0,0,0.0,0.0,0.0,0,1.0,412,10.0,0.0,0.0,29,5,2,0.0,0.0,0.0,-2.69,0.5,10.0,0,63.5,391.5,0.0,0.0,0.0,0.0,2.0,6,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0,0.0,0.0,3.14,87.0,100.0,20.0,1.44,0.0,0.0
0.0,3.0,0,0.0,0.0,0.0,0,1.0,412,10.0,0.0,0.0,29,5,2,0.0,0.0,0.0,-2.69,0.5,10.0,0,67.5,391.5,0.0,0.0,0.0,0.0,4.0,6,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.0,3.2,87.0,100.0,18.0,1.44,0.0,0.0
0.0,3.0,0,0.0,0.0,0.0,0,1.0,412,10.0,0.0,0.0,29,5,2,0.0,0.0,0.0,-2.69,0.5,10.0,0,61.5,391.5,0.0,0.0,0.0,0.0,4.0,6,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0,0.0,0.0,3.19,87.0,100.0,18.0,1.44,0.0,0.0
0.0,3.0,0,0.0,0.0,0.0,0,1.0,412,10.0,0.0,0.0,29,5,2,0.0,0.0,0.0,-2.69,0.5,10.0,0,70.5,391.5,0.0,0.0,0.0,0.0,2.0,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.15,87.0,100.0,25.0,1.44,0.0,0.0
0.0,3.0,0,0.0,0.0,0.0,0,1.0,412,10.0,0.0,0.0,29,5,2,0.0,0.0,0.0,-2.69,0.5,10.0,0,68.5,391.5,0.0,0.0,0.0,0.0,2.0,6,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.2,87.0,100.0,15.0,1.44,0.0,0.0
0.0,3.0,0,0.0,0.0,0.0,0,1.0,412,10.0,0.0,0.0,29,5,2,0.0,0.0,0.0,-2.69,0.5,10.0,0,68.5,391.5,0.0,0.0,0.0,0.0,4.0,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.23,87.0,100.0,25.0,1.44,0.0,0.0
0.0,3.0,0,0.0,0.0,0.0,0,1.0,412,10.0,0.0,0.0,29,5,2,0.0,0.0,0.0,-2.69,0.5,10.0,0,66.5,391.5,0.0,0.0,0.0,0.0,4.0,6,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.15,87.0,100.0,10.0,1.44,0.0,0.0
0.0,3.0,0,0.0,0.0,0.0,0,1.0,412,10.0,0.0,0.0,29,5,2,0.0,0.0,0.0,-2.69,0.5,10.0,0,70.5,391.5,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.0,3.21,87.0,100.0,20.0,1.44,0.0,0.0
0.0,3.0,0,0.0,0.0,0.0,0,1.0,412,10.0,0.0,0.0,29,5,2,0.0,0.0,0.0,-2.69,0.5,10.0,0,68.5,391.5,0.0,0.0,0.0,0.0,0.0,6,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.0,3.23,87.0,100.0,23.0,1.44,0.0,0.0
