Angle_of_Repose,Aspartame,B_cyclodextrin,Bulk_Density,Carrs_Compressibility_Index,Citric_acid,Clove_oil_,Colloidal_silicon_dioxide_Aerosil_,Complexity,DOSE,Gum,Hausner_Ratio,Heavy_atom_count,Hydrogen_Bond_Acceptor_Count,Hydrogen_Bond_Donor_Count,Hydroxypropyl_Cellulose_HPC_,Indion,Lactose,LogS,Magnesium_Stearate,Mannitol,Menthol,Microcrystalline_Cellulose,Molecular_Weight,Neotame,Plantago_ovata,Polacrilin_Potassium,Polyethylene_Glycol,Polyvinylpyrrolidone_Crospovidone_,Rotational_bond_count,Sodium_Saccharine_,Sodium_croscarmellose,Sodium_lauryl_sulfate_SLS_,Sodium_saccharin,Sodium_starch_glycolate,Sodium_stearyl_fumarate_,Starch,Stevia_leaf_Powder_,Talc,Tapped_Density,Thickness,Topological_surface_area,Weight_mg_,Wetting_time,XLogP3_AA,polyvinyl_acetate,sodium_bicarbonate_NaHCO3_
41.52,2.0,0,0.384,31.25,0.0,0,0.0,375,5.0,0.0,1.41,21,3,2,0.0,0.0,97.0,-2.09,1.5,0.0,0,19.6,287.36,0.0,0.0,0.0,0.0,3.9,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.545,3.71,57.4,130.0,0.0,2.2,0.0,0.0
40.61,2.0,0,0.362,25.36,0.0,0,0.0,375,5.0,0.0,1.33,21,3,2,0.0,0.0,97.0,-2.09,1.5,0.0,0,18.3,287.36,0.0,0.0,0.0,0.0,5.2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.485,3.65,57.4,130.0,0.0,2.2,0.0,0.0
48.42,2.0,0,0.38,28.3,0.0,0,0.0,375,5.0,0.0,1.39,21,3,2,0.0,0.0,97.0,-2.09,1.5,0.0,0,17.0,287.36,0.0,0.0,0.0,0.0,6.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.53,3.69,57.4,130.0,0.0,2.2,0.0,0.0
37.41,2.0,0,0.371,24.74,0.0,0,0.0,375,5.0,0.0,1.32,21,3,2,0.0,0.0,97.0,-2.09,1.5,0.0,0,19.6,287.36,0.0,0.0,0.0,0.0,0.0,5,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.493,3.68,57.4,130.0,0.0,2.2,0.0,0.0
33.92,2.0,0,0.36,22.07,0.0,0,0.0,375,5.0,0.0,1.66,21,3,2,0.0,0.0,97.0,-2.09,1.5,0.0,0,18.3,287.36,0.0,0.0,0.0,0.0,0.0,5,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.462,3.72,57.4,130.0,0.0,2.2,0.0,0.0
24.28,2.0,0,0.419,12.26,0.0,0,0.0,375,5.0,0.0,1.14,21,3,2,0.0,0.0,97.0,-2.09,1.5,0.0,0,17.0,287.36,0.0,0.0,0.0,0.0,0.0,5,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.477,3.66,57.4,130.0,0.0,2.2,0.0,0.0
22.32,2.0,0,0.417,11.49,0.0,0,0.0,375,5.0,0.0,1.13,21,3,2,0.0,0.0,97.0,-2.09,1.5,0.0,0,19.6,287.36,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0,0.0,0.471,3.65,57.4,130.0,0.0,2.2,0.0,0.0
25.54,2.0,0,0.416,12.44,0.0,0,0.0,375,5.0,0.0,1.13,21,3,2,0.0,0.0,97.0,-2.09,1.5,0.0,0,18.3,287.36,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0,0.0,0.475,3.72,57.4,130.0,0.0,2.2,0.0,0.0
24.56,2.0,0,0.428,18.22,0.0,0,0.0,375,5.0,0.0,1.25,21,3,2,0.0,0.0,97.0,-2.09,1.5,0.0,0,17.0,287.36,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0,0.0,0.456,3.7,57.4,130.0,0.0,2.2,0.0,0.0
21.21,0.5,0,0.514,9.82,0.0,0,0.5,375,5.0,2.0,1.1,21,3,2,0.0,0.0,0.0,-2.09,1.0,55.5,0,30.0,287.36,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0.5,0.57,0.63,57.4,100.0,10.0,2.2,0.0,0.0
