,s,f,Start_Date,Finish_Date
Start,0,0,2023-09-03,2023-09-03
1-MK-8591-C,0,7,2023-09-03,2023-10-22
2-MK-1167-B,4,8,2023-10-01,2023-10-29
3-MK-3543-B,0,4,2023-09-03,2023-10-01
4-MK-3543-A1,5,6,2023-10-08,2023-10-15
5-MK-3543-A2,10,11,2023-11-12,2023-11-19
6-MK-1084-D,0,5,2023-09-03,2023-10-08
7-MK-1084-A1,6,10,2023-10-15,2023-11-12
8-MK-1084-H,10,11,2023-11-12,2023-11-19
9-EP-200-C,7,10,2023-10-22,2023-11-12
End,11,11,2023-11-19,2023-11-19
