HARDNESS,FRIABILITY,Drug_content,Water_absorption_ratio,DISINTEGRATION_TIME
2.5,0.34,61.23,0.0,69.0
2.5,0.48,68.52,0.0,55.0
3.0,0.35,70.01,0.0,50.0
3.2,0.52,71.26,0.0,47.0
3.2,0.36,73.05,0.0,42.0
4.0,0.76,100.0,0.0,27.0
5.6,0.48,98.64,0.0,44.0
5.8,0.62,99.18,0.0,91.0
5.7,0.52,98.74,0.0,51.0
6.1,0.58,99.21,0.0,148.0
3.6,0.73,0.0,0.0,85.0
3.8,0.65,0.0,0.0,37.0
3.5,0.46,0.0,0.0,22.0
4.2,0.38,0.0,0.0,71.0
3.6,0.43,0.0,0.0,96.0
3.2,0.49,0.0,0.0,29.0
3.1,0.21,0.0,0.0,300.0
3.0,0.23,0.0,0.0,270.0
3.0,0.3,0.0,0.0,190.1
3.0,0.21,95.36,48.0,92.33
3.0,0.26,93.37,52.66,77.67
3.0,0.25,97.53,58.33,47.0
3.1,0.22,96.58,62.0,60.66
3.1,0.29,97.36,70.66,86.33
3.0,0.37,0.0,0.0,120.5
3.0,0.33,0.0,0.0,120.5
3.0,0.28,0.0,0.0,89.32
3.0,0.39,0.0,0.0,98.33
3.1,0.41,0.0,0.0,110.2
3.14,0.39,98.23,49.42,24.0
3.16,0.37,97.89,44.17,20.0
3.27,0.33,98.75,38.16,17.0
3.15,0.41,98.34,59.46,35.0
3.16,0.28,98.45,55.16,27.0
3.19,0.48,99.24,49.14,25.0
3.24,0.36,96.92,61.9,51.0
3.17,0.39,98.15,59.62,49.0
3.21,0.39,98.82,56.04,48.0
2.9,0.47,98.84,0.0,16.0
2.9,0.4,98.57,0.0,18.0
3.0,0.47,98.12,0.0,42.0
2.9,0.4,99.78,0.0,20.0
3.0,0.42,97.52,0.0,24.0
3.0,0.4,95.26,0.0,51.0
2.9,0.53,97.32,0.0,22.0
2.8,0.6,98.42,0.0,18.0
2.8,0.59,98.05,0.0,47.0
3.69,0.41,98.23,61.42,23.0
3.93,0.36,97.89,60.71,19.0
3.71,0.29,99.21,59.26,14.0
3.51,0.61,98.34,57.64,31.0
3.36,0.42,98.45,58.26,25.0
3.59,0.51,99.24,60.41,22.0
3.72,0.34,97.92,63.39,39.0
3.42,0.39,99.11,65.26,26.0
3.31,0.41,98.31,66.04,28.0
3.5,0.75,98.2,0.0,32.0
4.0,0.59,100.1,0.0,30.0
3.5,0.48,99.4,0.0,34.0
3.5,0.49,97.3,0.0,46.0
3.5,0.45,100.1,0.0,23.0
3.0,0.53,99.9,0.0,21.0
4.0,0.63,99.2,0.0,26.0
3.5,0.55,98.1,0.0,39.0
3.5,0.64,99.7,0.0,19.0
3.0,0.57,99.9,0.0,15.0
3.5,0.51,100.1,0.0,20.0
3.0,0.64,97.2,0.0,20.0
3.0,0.54,100.1,0.0,14.0
3.5,0.65,99.6,0.0,9.0
4.0,0.54,99.3,0.0,16.0
3.5,0.63,98.7,0.0,22.0
3.0,0.54,0.0,0.0,22.0
3.5,0.65,0.0,0.0,18.0
4.0,0.54,0.0,0.0,19.0
3.5,0.63,0.0,0.0,16.0
3.7,0.41,0.0,83.365,88.0
3.6,0.46,0.0,85.36,70.0
3.6,0.46,0.0,95.78,63.0
3.5,0.3,0.0,85.94,58.0
3.8,0.3,0.0,85.83,120.0
3.6,0.42,0.0,133.9,72.0
3.5,0.49,0.0,67.73,57.0
3.6,0.42,0.0,87.53,54.0
3.5,0.35,0.0,84.53,44.0
3.36,0.34,0.0,108.22,100.0
3.83,0.66,97.63,170.27,14.5
3.66,0.65,99.3,166.46,16.0
3.66,0.61,99.99,165.74,12.73
4.0,0.44,99.23,60.72,92.47
4.2,0.53,100.17,67.43,37.49
4.0,0.64,99.38,71.67,35.17
4.0,0.72,100.31,75.22,33.43
4.2,0.83,100.29,85.94,30.91
4.0,0.89,99.11,94.53,28.83
4.2,0.42,99.25,69.53,33.53
4.0,0.55,99.13,75.47,27.56
4.0,0.59,100.19,78.47,19.97
4.2,0.71,100.13,100.31,18.49
4.0,0.81,100.21,105.05,17.47
2.2,0.8,0.0,0.0,80.0
1.6,0.8,0.0,0.0,59.0
1.5,0.1,0.0,0.0,40.0
1.5,0.3,0.0,0.0,48.0
2.0,0.1,0.0,0.0,138.0
1.8,0.1,0.0,0.0,95.0
2.2,0.1,0.0,0.0,60.0
1.8,0.2,0.0,0.0,49.0
2.0,0.5,0.0,0.0,69.0
3.2,0.3,0.0,0.0,83.0
1.6,0.3,0.0,0.0,90.0
2.5,0.8,0.0,0.0,120.0
2.0,0.8,0.0,0.0,145.0
1.5,0.1,0.0,0.0,37.0
1.5,0.1,0.0,0.0,47.0
1.5,0.2,0.0,0.0,62.0
1.8,0.1,0.0,0.0,75.0
1.5,0.1,0.0,0.0,82.0
1.8,0.1,0.0,0.0,96.0
1.8,0.1,0.0,0.0,105.0
1.5,0.5,93.33,0.0,35.0
6.38,0.35,0.0,12.51,35.0
6.1,0.56,0.0,13.56,39.0
7.95,0.29,0.0,14.25,32.0
6.95,0.26,0.0,15.16,22.0
5.94,0.54,0.0,16.59,31.0
3.3,0.92,100.24,12.1,188.0
3.1,0.91,99.23,13.3,36.0
3.0,0.93,99.99,16.88,21.0
2.9,1.01,100.36,18.24,27.0
2.8,1.12,99.11,18.2,29.0
3.22,0.93,98.23,13.68,31.0
3.32,0.91,99.89,17.22,18.0
3.55,1.11,100.16,17.0,25.0
3.2,1.34,99.41,17.25,28.0
3.0,0.97,99.43,16.1,35.0
3.1,0.94,99.89,19.18,27.0
2.9,0.91,101.36,21.34,30.0
2.8,1.22,99.01,22.34,32.0
3.5,0.45,0.0,70.2,45.0
3.4,0.42,0.0,73.1,23.0
3.5,0.4,0.0,79.4,21.0
3.5,0.35,0.0,84.9,18.0
3.2,0.5,0.0,71.4,58.0
3.4,0.4,0.0,75.6,32.0
3.6,0.45,0.0,86.3,17.0
3.5,0.35,0.0,92.3,13.0
3.4,0.35,0.0,82.4,22.0
3.4,0.5,0.0,90.4,11.0
3.6,0.4,0.0,86.4,14.0
3.6,0.4,0.0,92.9,11.0
3.81,0.57,0.0,78.12,56.0
3.0,0.68,0.0,80.25,54.0
3.8,0.81,0.0,82.34,48.0
3.8,0.93,0.0,85.74,45.0
3.7,0.96,0.0,86.64,41.0
3.1,0.72,0.0,88.57,37.0
3.7,0.44,0.0,90.47,32.0
3.0,0.8,0.0,93.0,27.0
3.2,0.66,0.0,91.0,30.0
3.8,0.1,0.0,0.0,34.0
3.6,0.12,0.0,0.0,26.0
4.0,0.14,0.0,0.0,34.0
3.8,0.63,0.0,0.0,27.0
4.0,0.15,0.0,0.0,35.0
3.9,0.52,0.0,0.0,26.0
3.6,0.1,0.0,0.0,25.0
3.7,0.9,0.0,0.0,30.0
3.9,0.13,0.0,0.0,24.0
4.0,0.17,0.0,0.0,26.0
3.9,0.13,0.0,0.0,18.0
3.5,0.16,0.0,0.0,29.0
3.5,0.45,100.2,0.0,90.0
3.8,0.55,99.54,0.0,150.0
4.0,0.38,101.2,0.0,77.0
3.5,0.14,101.2,0.0,52.0
3.5,0.64,99.68,0.0,65.0
3.53,0.4,95.53,56.64,20.0
3.46,0.4,94.24,58.46,21.0
3.5,0.8,98.65,57.77,16.0
3.6,0.53,99.67,58.22,11.0
3.6,0.67,97.84,57.61,25.0
3.56,0.39,99.16,57.04,18.0
3.43,0.53,99.38,58.14,25.0
3.3,0.8,98.1,58.09,22.0
3.6,0.4,0.0,0.0,21.16
3.8,0.43,0.0,0.0,19.48
3.7,0.47,0.0,0.0,22.11
3.6,0.42,0.0,0.0,20.12
3.8,0.45,0.0,0.0,19.32
3.6,0.47,0.0,0.0,19.48
3.5,0.55,0.0,0.0,13.12
3.4,0.59,0.0,0.0,12.42
3.6,0.46,0.0,0.0,16.52
4.16,0.2,0.0,60.94,13.0
5.5,0.2,0.0,50.03,13.7
4.3,0.2,0.0,68.5,13.1
5.6,0.4,0.0,87.3,9.5
4.23,0.06,0.0,80.7,10.8
3.5,0.06,0.0,80.09,10.6
3.2,0.13,0.0,70.72,13.0
4.16,0.06,0.0,30.92,9.3
4.06,0.06,0.0,86.7,12.1
4.83,0.13,0.0,68.7,10.6
4.13,0.55,0.0,39.91,71.0
3.6,0.68,0.0,60.54,59.0
6.5,0.69,0.0,55.86,46.0
4.16,2.7,0.0,58.01,38.8
6.4,0.69,0.0,67.04,28.3
5.83,1.05,0.0,54.37,49.7
6.16,0.75,0.0,58.87,52.0
6.06,0.55,0.0,71.37,33.0
5.0,0.69,0.0,68.02,38.5
5.33,0.76,0.0,60.92,24.6
2.56,0.45,0.0,109.0,22.0
2.52,0.53,0.0,100.0,18.0
3.46,0.49,0.0,96.0,10.0
3.32,0.57,0.0,97.0,38.0
2.91,0.68,0.0,87.0,26.0
2.96,0.62,0.0,107.0,19.0
3.46,0.51,0.0,108.0,60.0
3.05,0.63,0.0,99.0,55.0
3.04,0.65,0.0,95.0,30.0
4.2,0.52,99.21,0.0,46.33
3.9,0.69,99.0,0.0,37.53
3.4,0.49,99.14,0.0,29.0
3.8,0.56,99.13,0.0,46.67
3.5,0.77,99.42,0.0,32.28
3.4,0.59,99.01,0.0,28.0
4.1,0.66,99.21,0.0,40.2
3.9,0.64,99.13,0.0,37.58
3.7,0.71,99.19,0.0,23.33
2.56,0.45,0.0,109.0,22.0
2.52,0.53,0.0,100.0,18.0
3.46,0.49,0.0,96.0,10.0
3.32,0.57,0.0,97.0,38.0
2.91,0.68,0.0,87.0,26.0
2.96,0.62,0.0,107.0,19.0
3.46,0.51,0.0,108.0,60.0
3.05,0.63,0.0,99.0,55.0
3.04,0.65,0.0,95.0,30.0
4.81,0.57,98.3,48.0,189.0
3.0,0.68,97.2,73.0,52.0
2.8,0.81,98.7,76.0,45.0
2.8,0.93,96.7,79.0,38.0
2.7,0.96,98.2,65.0,56.0
3.1,0.72,95.8,71.0,42.0
3.7,0.44,99.4,75.0,35.0
3.0,0.8,97.2,68.0,50.0
3.2,0.66,97.3,74.0,39.0
3.6,0.49,96.2,84.0,31.0
3.8,0.63,0.0,0.0,80.0
4.2,1.22,0.0,0.0,71.0
4.0,1.5,0.0,0.0,65.0
4.3,0.78,0.0,0.0,59.0
4.3,0.9,0.0,0.0,54.0
4.4,1.75,0.0,0.0,50.0
4.0,0.32,0.0,0.0,30.0
4.2,0.45,0.0,0.0,25.0
4.0,0.68,0.0,0.0,21.0
3.5,1.31,0.0,0.0,34.0
3.5,1.26,0.0,0.0,20.0
4.0,0.86,0.0,0.0,18.0
3.5,0.55,0.0,0.0,28.0
4.5,0.5,0.0,0.0,16.0
5.0,0.57,0.0,0.0,15.0
5.0,0.4,0.0,0.0,26.0
5.5,0.3,0.0,0.0,15.0
6.5,0.37,0.0,0.0,13.0
4.33,0.28,98.06,154.32,84.3
4.33,0.18,98.76,147.22,57.7
4.33,0.13,99.09,141.06,53.7
4.66,0.24,102.9,129.06,16.0
4.33,0.3,103.31,121.32,15.67
4.16,0.33,97.66,117.68,15.0
4.16,0.29,101.82,109.45,11.3
4.5,0.33,101.23,106.18,9.3
4.33,0.3,102.23,90.75,7.7
2.55,1.51,67.4,0.0,30.0
2.57,0.69,64.3,0.0,66.0
2.58,1.55,59.8,0.0,78.0
2.14,0.36,91.4,0.0,25.8
2.17,0.46,71.4,0.0,27.0
2.19,0.56,70.6,0.0,28.2
2.5,0.45,99.4,0.0,18.0
2.5,0.76,96.4,0.0,21.0
2.6,0.46,94.4,0.0,24.0
